Bet365_Names;Team (Dataset);Record ID;;;;
Mallorca;RCD Mallorca;219;;;;
Fuenlabrada;Fuenlabrada;220;;;;
Mirandés;MirandÃ©s;221;;;;
Tenerife;CD Tenerife;222;;;;
Alcorcón;AD AlcorcÃ³n;223;;;;
CD Castellon;Castellon;224;;;;
Rayo Vallecano;Rayo Vallecano;225;;;;
Lugo;Lugo;226;;;;
Albacete Balompié;Albacete BalompiÃ©;227;;;;
FC Cartagena;FC Cartagena;228;;;;
UD Las Palmas;UD Las Palmas;229;;;;
Real Zaragoza;Real Zaragoza;230;;;;
UD Logrones;Logrones;231;;;;
Málaga;Malaga;232;;;;
Girona;Girona FC;233;;;;
Sabadell;Sabadell;234;;;;
Almeria;AlmerÃ­a;235;;;;
Fiorentina;Fiorentina;236;;;;
Hellas Verona;Hellas Verona;237;;;;
Parma;Parma;238;;;;
Genoa;Genoa;239;;;;
Sassuolo;Sassuolo;240;;;;
Juventus;Juventus;241;;;;
AC Milan;AC Milan;242;;;;
Torino;Torino;243;;;;
Cagliari;Cagliari;244;;;;
Sampdoria;Sampdoria;245;;;;
Inter;Inter Milan;246;;;;
Spezia;Spezia;247;;;;
Napoli;Napoli;248;;;;
Crotone;Crotone;249;;;;
Roma;Roma;250;;;;
Bologna;Bologna;251;;;;
Benevento;Benevento;252;;;;
Udinese;Udinese;253;;;;
Lazio;Lazio;254;;;;
Atalanta;Atalanta;255;;;;
Monza;Monza;256;;;;
Brescia;Brescia;257;;;;
Cosenza;Cosenza;258;;;;
Frosinone;Frosinone;259;;;;
Lecce;Lecce;260;;;;
Pescara;Pescara;261;;;;
Salernitana;Salernitana;262;;;;
Venezia;Venezia;263;;;;
Cremonese;Cremonese;264;;;;
Reggiana;Reggiana;265;;;;
Chievo Verona;Chievo;266;;;;
Ascoli;Ascoli;267;;;;
Empoli;Empoli;268;;;;
Reggina;Reggina;269;;;;
Spal;Spal;270;;;;
Vicenza;Vicenza;271;;;;
Virtus Entella;Virtus Entella;272;;;;
Pisa;Pisa;273;;;;
Cittadella;Cittadella;274;;;;
Pordenone;Pordenone;275;;;;
Bordeaux;Bordeaux;276;;;;
Dijon;Dijon;277;;;;
Lille;Lille;278;;;;
AS Monaco;Monaco;279;;;;
Lorient;Lorient;280;;;;
Nîmes Olympique;Nimes;281;;;;
Nice;Nice;282;;;;
Lyon;Olympique Lyonnais;283;;;;
Rennes;Rennes;284;;;;
Strasbourg;Strasbourg;285;;;;
Reims;Reims;286;;;;
Angers;Angers;287;;;;
Metz;Metz;288;;;;
Nantes;Nantes;289;;;;
Saint-Étienne;St Etienne;290;;;;
Brest;Brest;291;;;;
Lens;Lens;292;;;;
Montpellier;Montpellier;293;;;;
Paris SG;PSG;294;;;;
Marseille;Olympique Marseille;295;;;;
Toulouse;Toulouse;296;;;;
AC Ajaccio;Ajaccio;297;;;;
Amiens;Amiens;298;;;;
Auxerre;Auxerre;299;;;;
Chambly FC;Chambly;300;;;;
Clermont;Clermont;301;;;;
Guingamp;Guingamp;302;;;;
Rodez;Rodez;303;;;;
Valenciennes;Valenciennes;304;;;;
Troyes;Troyes;305;;;;
Caen;Caen;306;;;;
Nancy;Nancy;307;;;;
Châteauroux;Chateauroux;308;;;;
Dunkerque;Dunkerque;309;;;;
Grenoble;Grenoble;310;;;;
Le Havre;Le Havre;311;;;;
Niort;Niort;312;;;;
Paris FC;Paris FC;313;;;;
Pau;Pau FC;314;;;;
Sochaux;Sochaux;315;;;;
Club Brugge;Club Brugge;316;;;;
Royal Antwerp FC;Royal Antwerp FC;317;;;;
Standard de Liège;Standard LiÃ¨ge;318;;;;
Sint-Truiden;Sint-Truiden;319;;;;
Zulte Waregem;Waregem;320;;;;
KV Mechelen;KV Mechelen;321;;;;
Kortrijk;KV Kortrijk;322;;;;
OH Leuven;OH Leuven;323;;;;
KV Oostende;Oostende;324;;;;
Royal Excel Mouscron;Mouscron;325;;;;
KRC Genk;KRC Genk;326;;;;
Sporting de Charleroi;Sporting Charleroi;327;;;;
AA Gent;KAA Gent;328;;;;
Cercle Brugge;Cercle Brugge;329;;;;
Beerschot;Beerschot-Wilrijk;330;;;;
